Fund Symbol	Fund Cusip	Fund Name	Category	Subcategory
PLK	73935B409	PowerShares Active Low Duration Fund	Fixed Income	FIXED INCOME
PLND	57060U571	Market Vectors Poland ETF	Global Equity	EMERGING MARKETS
PLTM	33737C104	First Trust ISE Global Platinum Index Fund	Global Equity	PRECIOUS METALS
PLW	73936T524	PowerShares 1-30 Laddered Treasury Portfolio	Fixed Income	FIXED INCOME
PMA	73935B300	PowerShares Active Mega Cap Fund	Equity	GROWTH
PMNA	73936Q603	PowerShares MENA Frontier Countries Portfolio	Global Equity	EMERGING MARKETS
PMR	73935X617	PowerShares Dynamic Retail Portfolio	Equity	CONSUMER
PNQI	73935X146	PowerShares NASDAQ Internet Portfolio	Equity	TECHNOLOGY
PPA	73935X690	PowerShares Aerospace & Defense Portfolio	Equity	INDUSTRIALS
PPH	57060U217	Market Vectors Pharmaceutical ETF	Equity	HEALTH/BIOTECHNOLOGY
PPLT	26922V101	ETFS Physical Platinum Shares	Commodity	PRECIOUS METALS
PQY	73935B102	PowerShares Active AlphaQ Fund	Equity	GROWTH
PQZ	73935B201	PowerShares Active Alpha Multi-Cap Fund	Equity	GROWTH
PRB	57060U738	Market Vectors Pre-Refunded Municipal Index ETF	Fixed Income	FIXED INCOME
PRF	73935X583	PowerShares FTSE RAFI US 1000 Portfolio	Equity	LARGE-CAP
PRFZ	73935X567	PowerShares FTSE RAFI US 1500 Small-Mid Portfolio	Equity	MID-CAP
PRN	73935X369	PowerShares Dynamic Industrials Sector Portfolio	Equity	INDUSTRIALS
PSAU	73936Q876	PowerShares Global Gold and Precious Metals Portfolio	Global Equity	PRECIOUS METALS
PSCC	73937B605	PowerShares S&P SmallCap Consumer Staples Portfolio	Equity	SMALL-CAP
PSCD	73937B506	PowerShares S&P SmallCap Consumer Discretionary Portfolio	Equity	SMALL-CAP
PSCE	73937B704	PowerShares S&P SmallCap Energy Portfolio	Equity	SMALL-CAP
PSCF	73937B803	PowerShares S&P SmallCap Financials Portfolio	Equity	SMALL-CAP
PSCH	73937B886	PowerShares S&P SmallCap Health Care Portfolio	Equity	SMALL-CAP
PSCI	73937B878	PowerShares S&P SmallCap Industrials Portfolio	Equity	SMALL-CAP
PSCM	73937B852	PowerShares S&P SmallCap Materials Portfolio	Equity	SMALL-CAP
PSCT	73937B860	PowerShares S&P SmallCap Information Technology Portfolio	Equity	SMALL-CAP
PSCU	73937B837	PowerShares S&P SmallCap Utilities Portfolio	Equity	SMALL-CAP
PSI	73935X781	PowerShares Dynamic Semiconductors Portfolio	Equity	TECHNOLOGY
PSJ	73935X773	PowerShares Dynamic Software Portfolio	Equity	TECHNOLOGY
PSK	78464A292	SPDR Wells Fargo Preferred Stock ETF	Equity	INCOME
PSL	73935X393	PowerShares Dynamic Consumer Staples Sector Portfolio	Equity	CONSUMER
PSP	73935X195	PowerShares Listed Private Equity Portfolio	Global Equity	FINANCIAL SERVICES
PSQ	74347R602	ProShares Short QQQ	Equity	LARGE-CAP
PSR	73935B508	PowerShares Active U.S. Real Estate Fund	Equity	REAL ESTATE
PST	74347R313	ProShares UltraShort 7-10 Treasury	Fixed Income	FIXED INCOME
PSTL	73936Q868	PowerShares Global Steel Portfolio	Global Equity	BASIC MATERIALS
PTD	902641729	UBS E-TRACS Short Platinum UBS Bloomberg CMCI Platinum Excess Return ETN	Commodity	PRECIOUS METALS
PTF	73935X344	PowerShares Dynamic Technology Sector Portfolio	Equity	TECHNOLOGY
PTH	73935X351	PowerShares Dynamic Healthcare Sector Portfolio	Equity	HEALTH/BIOTECHNOLOGY
PTM	902641786	UBS E-TRACS Long Platinum UBS Bloomberg CMCI Platinum Total Return ETN	Commodity	PRECIOUS METALS
PTO	73936Q306	PowerShares Ibbotson Alternative Completion Portfolio	Global Equity	GLOBAL
PUI	73935X591	PowerShares Dynamic Utilities Portfolio	Equity	UTILITY
PUW	73935X161	PowerShares WilderHill Progressive Energy Portfolio	Equity	NATURAL RESOURCES
PVI	73936T433	PowerShares VRDO Tax-Free Weekly Portfolio	Fixed Income	FIXED INCOME
PWB	73935X609	PowerShares Dynamic Large Cap Growth Portfolio	Equity	GROWTH
PWC	73935X104	PowerShares Dynamic Market Portfolio	Equity	LARGE-CAP
PWND	73937B308	PowerShares Global Wind Energy Portfolio	Global Equity	NATURAL RESOURCES
PWO	73935X203	PowerShares Dynamic OTC Portfolio	Equity	GROWTH
PWV	73935X708	PowerShares Dynamic Large Cap Value Portfolio	Equity	VALUE
PWZ	73936T441	PowerShares Insured California Municipal Bond Portfolio	Fixed Income	FIXED INCOME
PXE	73935X658	PowerShares Dynamic Energy Exploration & Production Portfolio	Equity	NATURAL RESOURCES
PXF	73936T789	PowerShares FTSE RAFI Developed Markets ex-US Portfolio	Global Equity	INTERNATIONAL
PXH	73936T763	PowerShares FTSE RAFI Emerging Markets Portfolio	Global Equity	EMERGING MARKETS
PXI	73935X385	PowerShares Dynamic Energy Sector Portfolio	Equity	NATURAL RESOURCES
PXJ	73935X625	PowerShares Dynamic Oil & Gas Services Portfolio	Equity	NATURAL RESOURCES
PXLC	73935X450	PowerShares Fundamental Pure Large Core Portfolio	Equity	LARGE-CAP
PXLG	739371102	PowerShares Fundamental Pure Large Growth Portfolio	Equity	GROWTH
PXLV	739371201	PowerShares Fundamental Pure Large Value Portfolio	Equity	VALUE
PXMC	73935X443	PowerShares Fundamental Pure Mid Core Portfolio	Equity	MID-CAP
PXMG	73935X807	PowerShares Fundamental Pure Mid Growth Portfolio	Equity	GROWTH
PXMV	73935X880	PowerShares Fundamental Pure Mid Value Portfolio	Equity	VALUE
PXN	73935X633	PowerShares Lux Nanotech Portfolio	Equity	TECHNOLOGY
PXQ	73935X815	PowerShares Dynamic Networking Portfolio	Equity	TECHNOLOGY
PXR	73937B209	PowerShares Emerging Markets Infrastructure Portfolio	Global Equity	EMERGING MARKETS
PXSC	73935X435	PowerShares Fundamental Pure Small Core Portfolio	Equity	SMALL-CAP
PXSG	73935X872	PowerShares Fundamental Pure Small Growth Portfolio	Equity	GROWTH
PXSV	73935X864	PowerShares Fundamental Pure Small Value Portfolio	Equity	VALUE
PYH	73935X179	PowerShares Morningstar StockInvestor Core Portfolio	Equity	GROWTH
PYZ	73935X427	PowerShares Dynamic Basic Materials Sector Portfolio	Equity	BASIC MATERIALS
PZA	73936T474	PowerShares Insured National Municipal Bond Portfolio	Fixed Income	FIXED INCOME
PZD	73935X278	PowerShares Cleantech Portfolio	Global Equity	INDUSTRIALS
PZI	73935X740	PowerShares Zacks Micro Cap Portfolio	Equity	SMALL-CAP
PZT	73936T458	PowerShares Insured New York Municipal Bond Portfolio	Fixed Income	FIXED INCOME
QABA	33736Q104	First Trust NASDAQ ABA Community Bank Index Fund	Equity	FINANCIAL SERVICES
QAI	45409B107	IQ Hedge Multi-Strategy Tracker ETF	Global Equity	FLEXIBLE PORTFOLIO
QCLN	33733E500	First Trust NASDAQ Clean Edge Green Energy Index Fund	Equity	NATURAL RESOURCES
QEH	00768Y750	AdvisorShares QAM Equity Hedge ETF	Global Equity	EQUITY SPECIALTY
QGEM	268461803	EGShares Technology GEMS ETF	Equity	TECHNOLOGY
QID	74347X237	ProShares UltraShort QQQ	Equity	LARGE-CAP
QLD	74347R206	ProShares Ultra QQQ	Equity	LARGE-CAP
QLTA	46429B291	iShares Aaa - A Rated Corporate Bond Fund	Fixed Income	FIXED INCOME
QLTB	46432F107	iShares Baa-Ba Rated Corporate Bond Fund	Fixed Income	FIXED INCOME
QLTC	46432F404	iShares B-Ca Rated Corporate Bond Fund	Fixed Income	FIXED INCOME
QMN	45409B503	IQ Hedge Market Neutral Tracker ETF	Global Equity	FLEXIBLE PORTFOLIO
QQEW	337344105	First Trust NASDAQ-100 Equal Weighted Index Fund	Equity	LARGE-CAP
QQQ	73935A104	PowerShares QQQ Trust, Series 1	Equity	LARGE-CAP
QQQC	37950E804	Global X NASDAQ China Technology ETF	Global Equity	ASIAN REGION
QQQE	25459Y207	Direxion NASDAQ-100 Equal Weighted Index Shares	Equity	LARGE-CAP
QQXT	33733E401	First Trust NASDAQ-100 Ex-Technology Sector Index Fund	Equity	LARGE-CAP
QTEC	337345102	First Trust NASDAQ-100 Technology Sector Index Fund	Equity	TECHNOLOGY
RALS	74347X310	ProShares RAFI Long/Short	Equity	EQUITY SPECIALTY
RAVI	33939L886	FlexShares Ready Access Variable Income Fund	Fixed Income	GROWTH & INCOME
RBL	78463X558	SPDR S&P Russia ETF	Global Equity	EMERGING MARKETS
RCD	78355W882	Guggenheim S&P 500 Equal Weight Consumer Discretionary ETF	Equity	CONSUMER
REK	74347X641	ProShares Short Real Estate	Equity	REAL ESTATE
REM	464288539	iShares FTSE NAREIT Mortgage Plus Capped Index Fund	Equity	REAL ESTATE
REMX	57060U472	Market Vectors Rare Earth/Strategic Metals ETF	Commodity	NATURAL RESOURCES
RETL	25459W417	Direxion Daily Retail Bull 3X Shares	Equity	CONSUMER
REW	74347X153	ProShares UltraShort Technology	Equity	TECHNOLOGY
REZ	464288562	iShares FTSE NAREIT Residential Plus Capped Index Fund	Equity	REAL ESTATE
RFG	78355W601	Guggenheim S&P Midcap 400 Pure Growth ETF	Equity	GROWTH
RFV	78355W502	Guggenheim S&P Midcap 400 Pure Value ETF	Equity	VALUE
RGI	78355W833	Guggenheim S&P 500 Equal Weight Industrials ETF	Equity	INDUSTRIALS
RGRA	78009P184	RBS Rogers Enhanced Agriculture ETN	Commodity	AGRICULTURE
RGRC	78009P176	RBS Rogers Enhanced Commodity ETN	Commodity	COMMODITIES
RGRE	78009P192	RBS Rogers Enhanced Energy ETN	Commodity	NATURAL RESOURCES
RGRI	78009P218	RBS Rogers Enhanced Industrial Metals ETN	Commodity	NATURAL RESOURCES
RGRP	78009P200	RBS Rogers Enhanced Precious Metals ETN	Commodity	PRECIOUS METALS
RHS	78355W874	Guggenheim S&P 500 Equal Weight Consumer Staples ETF	Equity	CONSUMER
RINF	74348A814	ProShares 30 Year TIPS/TSY Spread	Fixed Income	FIXED INCOME
RING	464286335	iShares MSCI Global Gold Miners Fund	Global Equity	PRECIOUS METALS
RJA	870297603	ELEMENTS Rogers Intl Commodity Index - Agriculture Total Return ETN	Commodity	AGRICULTURE
RJI	870297801	ELEMENTS Rogers Intl Commodity Index - Total Return ETN	Commodity	COMMODITIES
RJN	870297306	ELEMENTS Rogers Intl Commodity Index - Energy Total Return ETN	Commodity	NATURAL RESOURCES
RJZ	870297405	ELEMENTS Rogers Intl Commodity Index - Metals Total Return ETN	Commodity	COMMODITIES
RKH	57060U175	Market Vectors Bank and Brokerage ETF	Equity	FINANCIAL SERVICES
RLY	78467V103	SPDR SSgA Multi-Asset Real Return ETF	Equity	FLEXIBLE PORTFOLIO
RMB	18383Q747	Guggenheim Yuan Bond ETF	Fixed Income	ASIAN REGION
ROI	97717X107	WisdomTree LargeCap Growth Fund	Equity	GROWTH
ROLA	06740P205	iPath Long Extended Russell 1000 TR Index ETN	Equity	LARGE-CAP
ROM	74347R693	ProShares Ultra Technology	Equity	TECHNOLOGY
ROOF	45409B628	IQ US Real Estate Small Cap ETF	Equity	REAL ESTATE
RPG	78355W403	Guggenheim S&P 500 Pure Growth ETF	Equity	GROWTH
RPV	78355W304	Guggenheim S&P 500 Pure Value ETF	Equity	VALUE
RPX	19761R307	Columbia Growth Equity Strategy Fund	Equity	LARGE-CAP
RRF	97717X883	WisdomTree Global Real Return Fund	Fixed Income	GROWTH & INCOME
RRGR	00768Y743	AdvisorShares Global Alpha & Beta ETF	Global Equity	FLEXIBLE PORTFOLIO
RSP	78355W106	Guggenheim S&P 500 Equal Weight ETF	Equity	LARGE-CAP
RSU	78355W783	Guggenheim 2x S&P 500 ETF	Equity	LARGE-CAP
RSW	78355W767	Guggenheim Inverse 2x S&P 500 ETF	Equity	LARGE-CAP
RSX	57060U506	Market Vectors Russia ETF	Global Equity	EMERGING MARKETS
RSXJ	57060U399	Market Vectors Russia Small-Cap ETF	Global Equity	SMALL-CAP
RTH	57060U225	Market Vectors Retail ETF	Equity	CONSUMER
RTL	464288547	iShares FTSE NAREIT Retail Capped Index Fund	Equity	REAL ESTATE
RTLA	06740P403	iPath Long Extended Russell 2000 TR Index ETN	Equity	SMALL-CAP
RTM	78355W825	Guggenheim S&P 500 Equal Weight Materials ETF	Equity	BASIC MATERIALS
RTR	761396605	RevenueShares ADR Fund	Equity	LARGE-CAP
RUSL	25459Y645	Direxion Daily Russia Bull 3x Shares	Global Equity	EMERGING MARKETS
RUSS	25459W284	Direxion Daily Russia Bear 3x Shares	Global Equity	EMERGING MARKETS
RWG	19761R406	Columbia Large-Cap Growth Equity Strategy Fund	Equity	GROWTH
RWJ	761396308	RevenueShares Small Cap Fund	Equity	SMALL-CAP
RWK	761396209	RevenueShares Mid Cap Fund	Equity	MID-CAP
RWL	761396100	RevenueShares Large Cap Fund	Equity	LARGE-CAP
RWM	74347R826	ProShares Short Russell2000	Equity	SMALL-CAP
RWO	78463X749	SPDR Dow Jones Global Real Estate ETF	Global Equity	REAL ESTATE
RWR	78464A607	SPDR Dow Jones REIT ETF	Equity	REAL ESTATE
RWV	761396704	RevenueShares Navellier Overall A-100 Fund	Equity	EQUITY SPECIALTY
RWW	761396506	RevenueShares Financials Sector Fund	Equity	FINANCIAL SERVICES
RWX	78463X863	SPDR Dow Jones International Real Estate ETF	Global Equity	REAL ESTATE
RWXL	90268A667	ETRACS Monthly Pay 2x Leveraged Dow Jones International Real Estate ETN	Global Equity	REAL ESTATE
RXD	74347B102	ProShares UltraShort Health Care	Equity	HEALTH/BIOTECHNOLOGY
RXI	464288745	iShares S&P Global Consumer Discretionary Sector Index Fund	Global Equity	CONSUMER
RXL	74347R735	ProShares Ultra Health Care	Equity	HEALTH/BIOTECHNOLOGY
RYE	78355W866	Guggenheim S&P 500 Equal Weight Energy ETF	Equity	NATURAL RESOURCES
RYF	78355W858	Guggenheim S&P 500 Equal Weight Financials ETF	Equity	FINANCIAL SERVICES
RYH	78355W841	Guggenheim S&P 500 Equal Weight Health Care ETF	Equity	HEALTH/BIOTECHNOLOGY
RYJ	18383M613	Guggenheim Raymond James SB-1 Equity ETF	Equity	GROWTH
RYT	78355W817	Guggenheim S&P 500 Equal Weight Technology ETF	Equity	TECHNOLOGY
RYU	78355W791	Guggenheim S&P 500 Equal Weight Utilities ETF	Equity	UTILITY
RZG	78355W809	Guggenheim S&P Smallcap 600 Pure Growth ETF	Equity	GROWTH
RZV	78355W700	Guggenheim S&P Smallcap 600 Pure Value ETF	Equity	VALUE
SAA	74347R818	ProShares Ultra SmallCap600	Equity	SMALL-CAP
SAGG	25459Y306	Direxion Daily Total Bond Market Bear 1X Shares	Fixed Income	FIXED INCOME
SBB	74347R784	ProShares Short SmallCap600	Equity	SMALL-CAP
SBM	74347X559	ProShares Short Basic Materials	Equity	BASIC MATERIALS
SBND	25154N530	PowerShares DB 3x Short 25+ Year Treasury Bond ETN	Fixed Income	FIXED INCOME
SBV	06740P122	iPath Pure Beta S&P GSCI-Weighted ETN	Commodity	COMMODITIES
SCC	74348A616	ProShares UltraShort Consumer Services	Equity	CONSUMER
SCHA	808524607	Schwab U.S. Small-Cap ETF	Equity	SMALL-CAP
SCHB	808524102	Schwab U.S. Broad Market ETF	Equity	LARGE-CAP
SCHC	808524888	Schwab International Small-Cap Equity ETF	Global Equity	SMALL-CAP
SCHD	808524797	Schwab US Dividend Equity ETF	Equity	INCOME
SCHE	808524706	Schwab Emerging Markets Equity ETF	Global Equity	EMERGING MARKETS
SCHF	808524805	Schwab International Equity ETF	Global Equity	INTERNATIONAL
SCHG	808524300	Schwab U.S. Large-Cap Growth ETF	Equity	GROWTH
SCHH	808524847	Schwab U.S. REIT ETF	Equity	REAL ESTATE
SCHM	808524508	Schwab U.S. Mid-Cap ETF	Equity	MID-CAP
SCHO	808524862	Schwab Short-Term  U.S. Treasury ETF	Fixed Income	FIXED INCOME
SCHP	808524870	Schwab U.S. TIPs ETF	Fixed Income	FIXED INCOME
SCHR	808524854	Schwab Intermediate-Term U.S. Treasury ETF	Fixed Income	FIXED INCOME
SCHV	808524409	Schwab U.S. Large-Cap Value ETF	Equity	VALUE
SCHX	808524201	Schwab U.S. Large-Cap ETF	Equity	LARGE-CAP
SCHZ	808524839	Schwab US Aggregate Bond ETF	Fixed Income	FIXED INCOME
SCIF	57060U563	Market Vectors India Small-Cap Index ETF	Global Equity	SMALL-CAP
SCIN	268461811	EGShares India Small Cap ETF	Global Equity	SMALL-CAP
SCJ	464286582	iShares MSCI Japan Small Cap Index Fund	Global Equity	SMALL-CAP
SCLP	782474472	Russell Small Cap Low P/E ETF	Equity	VALUE
SCO	74347W668	ProShares UltraShort DJ-UBS Crude Oil	Commodity	NATURAL RESOURCES
SCOG	782474498	Russell Small Cap Consistent Growth ETF	Equity	GROWTH
SCPB	78464A474	SPDR Barclays Short Term Corporate Bond ETF	Fixed Income	FIXED INCOME
SCPR	22542D522	VelocityShares 2x Inverse Copper ETN linked to the S&P GSCI Copper Index Excess Return	Commodity	PRECIOUS METALS
SCTR	782474480	Russell Small Cap Contrarian ETF	Equity	SMALL-CAP
SCZ	464288273	iShares MSCI EAFE Small Cap Index Fund	Global Equity	SMALL-CAP
SDD	74348A400	ProShares UltraShort SmallCap600	Equity	SMALL-CAP
SDIV	37950E549	Global X SuperDividend ETF	Global Equity	INCOME
SDK	74347X187	ProShares UltraShort Russell MidCap Growth	Equity	GROWTH
SDOG	00162Q858	ALPS Sector Dividend Dogs ETF	Equity	INCOME
SDOW	74347X112	ProShares UltraPro Short Dow30	Equity	LARGE-CAP
SDP	74348A863	ProShares UltraShort Utilities	Equity	UTILITY
SDS	74347B300	ProShares UltraShort S&P 500	Equity	LARGE-CAP
SDY	78464A763	SPDR S&P Dividend ETF	Equity	INCOME
SDYL	90267L409	ETRACS Monthly Pay 2xLeveraged S&P Dividend ETN	Equity	INCOME
SEA	18383Q796	Guggenheim Shipping ETF	Global Equity	INDUSTRIALS
SEF	74347R230	ProShares Short Financials	Equity	FINANCIAL SERVICES
SFK	74348A624	ProShares UltraShort Russell1000 Growth	Equity	GROWTH
SFLA	06740P601	iPath Long Extended S&P 500 TR Index ETN	Equity	LARGE-CAP
SGAR	06740P163	iPath Pure Beta Sugar ETN	Commodity	AGRICULTURE
SGG	06739H214	iPath Dow Jones-UBS Sugar Subindex Total Return ETN	Commodity	AGRICULTURE
SGGG	782474514	Russell Small Cap Aggressive Growth ETF	Equity	GROWTH
SGOL	26922Y105	ETFS Physical Swiss Gold Shares	Commodity	PRECIOUS METALS
SH	74347R503	ProShares Short S&P 500	Equity	LARGE-CAP
SHM	78464A425	SPDR Nuveen Barclays Short Term Municipal Bond ETF	Fixed Income	FIXED INCOME
SHV	464288679	iShares Barclays Short Treasury Bond Fund	Fixed Income	FIXED INCOME
SHY	464287457	iShares Barclays 1-3 Year Treasury Bond Fund	Fixed Income	FIXED INCOME
SIJ	74348A103	ProShares UltraShort Industrials	Equity	LARGE-CAP
SIL	37950E853	Global X Silver Miners ETF	Global Equity	PRECIOUS METALS
SINF	74348A830	ProShares UltraPro Short 10 Year TIPS/TSY Spread	Fixed Income	FIXED INCOME
SIVR	26922X107	ETFS Physical Silver Shares	Commodity	PRECIOUS METALS
SIZ	351680400	QuantShares U.S. Market Neutral Size Fund	Equity	EQUITY SPECIALTY
SJB	74347R131	ProShares Short High Yield	Fixed Income	FIXED INCOME
SJF	74347R453	ProShares UltraShort Russell1000 Value	Equity	VALUE
SJH	74348A509	ProShares UltraShort Russell2000 Value	Equity	VALUE
SJL	74347X161	ProShares UltraShort Russell MidCap Value	Equity	VALUE
SJNK	78468R408	SPDR Barclays Short Term High Yield Bond ETF	Fixed Income	FIXED INCOME
SKF	74347X146	ProShares UltraShort Financials	Equity	FINANCIAL SERVICES
SKK	74347X195	ProShares UltraShort Russell2000 Growth	Equity	GROWTH
SKYY	33734X192	First Trade ISE Cloud Computing Index	Global Equity	GLOBAL
SLV	46428Q109	iShares Silver Trust	Commodity	PRECIOUS METALS
SLVP	464286327	iShares MSCI Global Silver Miners Fund	Global Equity	PRECIOUS METALS
SLX	57060U308	Market Vectors Steel ETF	Equity	BASIC MATERIALS
SLY	78464A813	SPDR S&P 600 Small Cap ETF	Equity	SMALL-CAP
SLYG	78464A201	SPDR S&P 600 Small Cap Growth ETF	Equity	GROWTH
SLYV	78464A300	SPDR S&P 600 Small Cap Value ETF	Equity	VALUE
SMB	57060U803	Market Vectors Short Municipal Index ETF	Fixed Income	FIXED INCOME
SMDD	74348A657	ProShares UltraPro Short MidCap400	Equity	MID-CAP
SMH	57060U233	Market Vectors Semiconductor ETF	Equity	TECHNOLOGY
SMIN	46429B614	iShares MSCI India Small Cap Index Fund	Global Equity	SMALL-CAP
SMK	74347X179	ProShares UltraShort MSCI Mexico	Global Equity	INTERNATIONAL
SMMU	72201R874	PIMCO Short Term Municipal Bond Exchange-Traded Fund	Fixed Income	FIXED INCOME
SMN	74347X138	ProShares UltraShort Basic Materials	Equity	BASIC MATERIALS
SNDS	301505301	Sustainable North American Oil Sands ETF	Commodity	NATURAL RESOURCES
SNLN	74735F103	Pyxis/iBoxx Senior Loan ETF	Fixed Income	FIXED INCOME
SOCL	37950E416	Global X Social Media Index Fund	Global Equity	SMALL-CAP
SOIL	37950E499	Global X Fertilizers/Potash ETF	Commodity	NATURAL RESOURCES
SOXL	25459W458	Direxion Daily Semiconductor Bull 3X Shares	Equity	TECHNOLOGY
SOXS	25459W128	Direxion Daily Semiconductor Bear 3X Shares	Equity	TECHNOLOGY
SOXX	464287523	iShares PHLX SOX Semiconductor Sector Index Fund	Equity	TECHNOLOGY
SOYB	88166A607	Teucrium Soybean Fund	Commodity	AGRICULTURE
SPFF	37950E333	Global X SuperIncome Preferred ETF	Equity	INCOME
SPGH	902641661	UBS E-TRACS S&P 500 Gold Hedged ETN	Commodity	PRECIOUS METALS
SPHB	73937B829	PowerShares S&P 500 High Beta Portfolio	Equity	LARGE-CAP
SPHD	73937B654	PowerShares S&P 500 High Dividend Portfolio	Equity	INCOME
SPHQ	73935X682	PowerShares S&P 500 High Quality Portfolio	Equity	GROWTH
SPLV	73937B779	PowerShares S&P 500 Low Volatility Portfolio	Equity	LARGE-CAP
SPXL	25459W862	Direxion Daily S&P 500 Bull 3x Shares	Equity	LARGE-CAP
SPXS	25459W151	Direxion Daily S&P 500 Bear 3x Shares	Equity	LARGE-CAP
SPXU	74348A632	ProShares UltraPro Short S&P500	Equity	LARGE-CAP
SPY	78462F103	SPDR S&P 500 Trust	Equity	LARGE-CAP
SPYG	78464A409	SPDR S&P 500 Growth ETF	Equity	GROWTH
SPYV	78464A508	SPDR S&P 500 Value ETF	Equity	VALUE
SQQQ	74348A665	ProShares UltraPro Short QQQ	Equity	LARGE-CAP
SRS	74348A871	ProShares UltraShort Real Estate	Equity	REAL ESTATE
SRTY	74348A640	ProShares UltraPro Short Russell2000	Equity	SMALL-CAP
SSAM	00768Y792	ROCKLEDGE SectorSAM ETF	Equity	EQUITY SPECIALTY
SSDD	90268A758	ETRACS ISE Solid State Drive Index ETN	Equity	TECHNOLOGY
SSDL	90268A741	ETRACS Monthly 2xLeveraged ISE Solid State Drive Index ETN	Equity	TECHNOLOGY
SSG	74347X245	ProShares UltraShort Semiconductors	Equity	TECHNOLOGY
SSO	74347R107	ProShares Ultra S&P 500	Equity	LARGE-CAP
SST	78468R101	SPDR Barclays Short Term Treasury ETF	Fixed Income	FIXED INCOME
STIP	46429B747	iShares Barclays 0-5 Year TIPS Bond Fund	Fixed Income	FIXED INCOME
STPP	06740L477	iPath US Treasury Steepener ETN	Fixed Income	FIXED INCOME
STPZ	72201R205	PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fund	Fixed Income	FIXED INCOME
SUB	464288158	iShares S&P Short Term National Municipal Bond Fund	Fixed Income	FIXED INCOME
SVXY	74347W627	ProShares Short VIX Short-Term Futures ETF	Equity	EQUITY SPECIALTY
SZK	74347R115	ProShares UltraShort Consumer Goods	Equity	CONSUMER
SZO	25154K874	PowerShares DB Crude Oil Short ETN	Commodity	NATURAL RESOURCES
SZR	97717W158	WisdomTree Dreyfus South African Rand Fund	Fixed Income	EMERGING MARKETS
TAGS	88166A706	Teucrium Agricultural Fund	Commodity	AGRICULTURE
TAN	18383Q739	Guggenheim Solar ETF	Global Equity	NATURAL RESOURCES
TAO	18383Q861	Guggenheim China Real Estate ETF	Global Equity	REAL ESTATE
TBAR	78009L407	RBS Gold Trendpilot ETNs	Commodity	PRECIOUS METALS
TBF	74347X849	ProShares Short 20+ Year Treasury	Fixed Income	FIXED INCOME
TBT	74347B201	ProShares UltraShort 20+ Year Treasury	Fixed Income	FIXED INCOME
TBX	74348A608	ProShares Short 7-10 Year Treasury	Fixed Income	FIXED INCOME
TBZ	74347X344	ProShares UltraShort 3-7 Year Treasury	Fixed Income	FIXED INCOME
TCHI	78009P150	RBS China Trendpilot Exchange Traded Notes	Global Equity	ASIAN REGION
TDD	233052109	db-X 2010 Target Date Fund	Global Equity	FLEXIBLE PORTFOLIO
TDH	233052208	db-X 2020 Target Date Fund	Global Equity	FLEXIBLE PORTFOLIO
TDIV	33738R118	First Trust NASDAQ Technology Dividend Index Fund	Equity	TECHNOLOGY
TDN	233052307	db-X 2030 Target Date Fund	Global Equity	FLEXIBLE PORTFOLIO
TDTF	33939L605	FlexShares iBoxx 5-Year Target Duration TIPS Index Fund	Fixed Income	FIXED INCOME
TDTT	33939L506	FlexShares iBoxx 3-Year Target Duration TIPS Index Fund	Fixed Income	FIXED INCOME
TDV	233052406	db-X 2040 Target Date Fund	Global Equity	FLEXIBLE PORTFOLIO
TDX	233052505	db-X In-Target Date Fund	Global Equity	FLEXIBLE PORTFOLIO
TECL	25459W102	Direxion Daily Technology Bull 3X Shares	Equity	TECHNOLOGY
TECS	25459W318	Direxion Daily Technology Bear 3X Shares	Equity	TECHNOLOGY
TENZ	72201R700	PIMCO 7-15 Year U.S. Treasury Index Exchange-Traded Fund	Fixed Income	FIXED INCOME
TFI	78464A458	SPDR Nuveen Barclays Municipal Bond ETF	Fixed Income	FIXED INCOME
TGEM	268461886	EGShares Telecom GEMS ETF	Equity	TELECOMMUNICATION
TGR	464289107	iShares S&P Target Date Retirement Income Index Fund	Equity	INCOME
THD	464286624	iShares MSCI Thailand Index Fund	Global Equity	ASIAN REGION
TILT	33939L100	FlexShares Morningstar US Market Factors Tilt Index Fund	Equity	EQUITY SPECIALTY
TIP	464287176	iShares Barclays TIPS Bond Fund	Fixed Income	FIXED INCOME
TIPZ	72201R403	PIMCO Broad U.S. TIPS Index Exchange-Traded Fund	Fixed Income	FIXED INCOME
TLH	464288653	iShares Barclays 10-20 Year Treasury Bond Fund	Fixed Income	FIXED INCOME
TLL	74347X252	ProShares UltraShort Telecommunications	Equity	TELECOMMUNICATION
TLO	78464A664	SPDR Barclays Long Term Treasury ETF	Fixed Income	FIXED INCOME
TLT	464287432	iShares Barclays 20+ Year Treasury Bond Fund	Fixed Income	FIXED INCOME
TLTD	33939L803	FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund	Global Equity	INTERNATIONAL
TLTE	33939L308	FlexShares Morningstar Emerging Markets Factor Tilt Index Fund	Global Equity	EMERGING MARKETS
TMF	25459W540	Direxion Daily 20+ Year Treasury Bull 3x Shares ETF	Fixed Income	FIXED INCOME
TMV	25459Y678	Direxion Daily 20+ Year Treasury Bear 3x Shares ETF	Fixed Income	FIXED INCOME
TMW	78464A805	SPDR Dow Jones Total Market ETF	Equity	LARGE-CAP
TNA	25459W847	Direxion Daily Small Cap Bull 3X Shares	Equity	SMALL-CAP
