"New Stock List as of 1/17/2014",,,
DLTR,Dollar Tree Inc,NASDAQ Global Select,United States,Services
DLX,DELUXE CORPORATION,NYQ,United States,Industrials
DOC,"Healthpeak Properties, Inc.",NYQ,United States,Financials
DOLE,DOLE PLC,NYQ,Ireland,ConsumerStpl
DOV,Dover Corp,NYSE Euronext,United States,Industrials
DOW,Dow Chemical Co,NYSE Euronext,United States,Materials
DOX,Amdocs Ltd,NYSE Euronext,United States,Technology
DPZ,Dominos Pizza Inc,NYSE Euronext,United States,Services
DQ,DAQO NEW ENERGY CORP.,NYQ,China,Technology
DRH,DIAMONDROCK HOSPITALITY COMPANY,NMS,United States,Financials
DRI,Darden Restaurants Inc,NYSE Euronext,United States,Services
DSX,DIANA SHIPPING INC.,NYQ,Greece,Industrials
