Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
First Marblehead Corp.,FMD,Financials,Consumer Finance,NO,NO,United States,United States,FMD
Fresenius Medical Care AG & Co. KGaA,FMS,Health Care,Health Care Providers,NO,NO,Germany,Europe,FMS
Fabrinet,FN,Industrials,undefined,NO,NO,China,Asia-Pacific,663
F.N.B. Corp.,FNB,Financials,Banks,NO,NO,United States,United States,FNB
Fidelity National Financial Inc.,FNF,Financials,Mortgage Finance,NO,NO,United States,United States,FNF
Franco-Nevada Corp.,FNV,Financials,undefined,NO,NO,Canada,Canada,666
Ferro Corp.,FOE,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,FOE
Forestar Group Inc.,FOR,Financials,Real Estate Holding and Development,NO,NO,United States,United States,FOR
First Potomac Realty Trust,FPO,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,FPO
First Industrial Realty Trust Inc.,FR,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,FR
First Republic Bank,FRC,Financials,undefined,NO,NO,United States,United States,671
Fortegra Financial Corp.,FRF,Financials,undefined,NO,NO,United States,United States,672
Furmanite Corp.,FRM,Industrials,Business Support Services,NO,NO,United States,United States,FRM
Frontline Ltd.,FRO,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,FRO
Federal Realty Investment Trust,FRT,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,FRT
Forest Laboratories Inc.,FRX,Health Care,Pharmaceuticals,YES,NO,United States,United States,FRX
Freescale Semiconductor Holdings I Ltd.,FSL,Technology,undefined,NO,NO,United States,United States,678
Fortuna Silver Mines Inc.,FSM,Basic Materials,undefined,NO,NO,Canada,Canada,679
Flagstone Reinsurance Holdings Ltd.,FSR,Financials,Reinsurance,NO,NO,United States,United States,FSR
Federal Signal Corp.,FSS,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,FSS
Forest Oil Corp.,FST,Oil and Gas,Exploration and Production,NO,NO,United States,United States,FST
France Telecom,FTE,Telecommunications,Fixed Line Telecommunications,NO,NO,France,Europe,FTE
FMC Technologies Inc.,FTI,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States,FTI
Flotek Industries Inc.,FTK,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,FTK
H.B. Fuller Co.,FUL,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,FUL
Winthrop Realty Trust,FUR,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,FUR
Five Star Quality Care Inc.,FVE,Health Care,undefined,NO,NO,United States,United States,688
FXCM Inc.,FXCM,Financials,undefined,NO,NO,United States,United States,689
Genpact Ltd.,G,Industrials,Business Support Services,NO,NO,United States,United States,G
Giant Interactive Group Inc.,GA,Consumer Goods,Toys,NO,NO,China,Asia-Pacific,GA
Nicor Inc.,GAS,Utilities,Gas Distribution,YES,NO,United States,United States,GAS
Greatbatch Inc.,GB,Industrials,Electrical Components and Equipment,NO,NO,United States,United States,GB
Grubb & Ellis Co.,GBE,Financials,Real Estate Services,NO,NO,United States,United States,GBE
GAMCO Investors Inc. Cl A,GBL,Financials,Asset Managers,NO,NO,United States,United States,GBL
Greenbrier Cos.,GBX,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,GBX
Global Cash Access Holdings Inc.,GCA,Industrials,Financial Administration,NO,NO,United States,United States,GCA
GAIN Capital Holdings Inc.,GCAP,Financials,undefined,NO,NO,United States,United States,698
Gannett Co. Inc.,GCI,Consumer Services,Publishing,YES,NO,United States,United States,GCI
Genesco Inc.,GCO,Consumer Services,Apparel Retailers,NO,NO,United States,United States,GCO
General Dynamics Corp.,GD,Industrials,Defense,YES,NO,United States,United States,GD
Gardner Denver Inc.,GDI,Industrials,Industrial Machinery,NO,NO,United States,United States,GDI
Green Dot Corp. Cl A,GDOT,Financials,undefined,NO,NO,United States,United States,703
Goodrich Petroleum Corp.,GDP,Oil and Gas,Exploration and Production,NO,NO,United States,United States,GDP
General Electric Co.,GE,Industrials,Diversified Industrials,YES,YES,United States,United States,GE
Greif Inc. Cl A,GEF,Industrials,Containers and Packaging,NO,NO,United States,United States,GEF
Greif Inc. Cl B,GEF-B,Industrials,Containers and Packaging,NO,NO,United States,United States,GEF-B
GenOn Energy Inc.,GEN,Utilities,undefined,NO,NO,United States,United States,708
Geo Group Inc.,GEO,Industrials,Business Support Services,NO,NO,United States,United States,GEO
Guess? Inc.,GES,Consumer Services,Apparel Retailers,NO,NO,United States,United States,GES
Gaylord Entertainment Co.,GET,Consumer Services,Hotels,NO,NO,United States,United States,GET
Gafisa S-A,GFA,Consumer Goods,Home Construction,NO,NO,United States,United States,GFA
Griffon Corp.,GFF,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,GFF
